caracNew,modalite,modaNiv1,modaNiv1_Color,modaNiv2_Color,modaNiv2,ModaNiv2remarques,rangInitial
Ordres,Hospitaliers et militaires - Teutoniques,Hospitaliers et militaires,#80b1d3,#80b1d3,autres hospitaliers et militaires,autres hospitaliers et militaires,65
Ordres,Chanoines réguliers - Arrouaise,Chanoines réguliers,#fb8072,#fb8072,Chanoines réguliers - Arrouaise,Arrouaise,66
Ordres,Chanoines réguliers - Prémontrés,Chanoines réguliers,#fb8072,#fb8072,Chanoines réguliers - Prémontrés,Prémontrés,67
Ordres,Chanoines réguliers - Saint-Ruf,Chanoines réguliers,#fb8072,#fb8072,Chanoines réguliers - Saint-Ruf,Saint-Ruf,68
Ordres,Monachisme érémitique - Chartreux (La Grande Chartreuse),Monachisme érémitique,#ffffb3,#ffffb3,Chartreux,Chartreux,69
Ordres,Bénédictins - Cisterciens (Cîteaux),Bénédictins Cisterciens,#993404,#993404,Cisterciens,Cisterciens,70
Ordres,Clercs réguliers - Autonome,Clercs réguliers,#bebada,#bebada,Clercs réguliers,regrouper tous les clercs réguliers,71
Ordres,Clercs réguliers - Jésuites,Clercs réguliers,#bebada,#bebada,Clercs réguliers,regrouper tous les clercs réguliers,72
Ordres,Bénédictins - Clunisiens (Cluny),Bénédictins Clunisiens,#d95f0e,#d95f0e,Clunisiens,Clunisiens,73
Ordres,Monachisme érémitique - Grandmont (Grandmontains),Monachisme érémitique,#ffffb3,#ffffb3,Grandmontains,Grandmontains,74
Ordres,Hospitaliers et militaires - Hospitaliers-du-Saint-Esprit,Hospitaliers et militaires,#80b1d3,#80b1d3,Hospitaliers,Hospitaliers,75
Ordres,Hospitaliers et militaires - Hospitaliers de Saint-Jean de Jérusalem,Hospitaliers et militaires,#80b1d3,#80b1d3,Hospitaliers,Hospitaliers,76
Ordres,Hospitaliers et militaires - Hospitaliers de Saint-Lazare (Lazarites),Hospitaliers et militaires,#80b1d3,#80b1d3,Hospitaliers,Hospitaliers,77
Ordres,Mendiants,Mendiants,#8dd3c7,#8dd3c7,Mendiant,regrouper tous les Mendiants (modalité changée à Mendiants-Franciscains)regrouper tous les Mendiants (modalité changée à Mendiants-Franciscains)regrouper tous les Mendiants (modalité changée à Mendiants-Franciscains)regrouper tous les Mendiants (modalité changée à Mendiants-Franciscains)regrouper tous les Mendiants (modalité changée à Mendiants-Franciscains),78
Ordres,Mendiants - Dominicains,Mendiants,#8dd3c7,#8dd3c7,Mendiant,regrouper tous les Mendiants,79
Ordres,Mendiants - Minimes,Mendiants,#8dd3c7,#8dd3c7,Mendiant,regrouper tous les Mendiants,80
Ordres,Mendiants - Franciscains,Mendiants,#8dd3c7,#8dd3c7,Mendiant,regrouper tous les Mendiants,81
Ordres,Chanoines réguliers - Victorins (Saint-Victor de Paris),Chanoines réguliers,#fb8072,#fb8072,Saint-Victor,Saint-Victor,82
Ordres,Hospitaliers et militaires - Templiers,Hospitaliers et militaires,#80b1d3,#80b1d3,Templiers ,Templiers ,83
Ordres,Hospitaliers et militaires - Autonome,Hospitaliers et militaires,#80b1d3,#80b1d3,,!!! Modalité n'existe pas (=erreur de Xavier),84
Statuts,Autre - Incertain,Autre,#999999,#999999,Indéfini,Indéfini,85
Statuts,Autre - Indéterminé,Autre,#999999,#999999,Indéfini,Indéfini,86
Statuts,Autre - Villa,Profane,#4daf4a,#4daf4a,Profane,Profane,87
Statuts,Curtis,Profane,#4daf4a,#4daf4a,Profane,Profane,88
Statuts,Régulier - Chapitre cathédral régulier,Régulier canonial,#ff7f00,#ff7f00,Régulier canonial,Régulier canonial,89
Statuts,Régulier - Chapitre collégial régulier,Régulier canonial,#ff7f00,#ff7f00,Régulier canonial,Régulier canonial,90
Statuts,Régulier - Communauté d'ermites,Régulier érémitique,#a6761d,#a6761d,Régulier érémitique,Régulier érémitique,91
Statuts,Régulier - Commanderie,Régulier hospitalier,#e6550d,#e6550d,Régulier hospitalier 1,Régulier hospitalier 1,92
Statuts,Régulier - Préceptorie,Régulier hospitalier,#e6550d,#e6550d,Régulier hospitalier 1,Régulier hospitalier 1,93
Statuts,Régulier - Maison,Régulier hospitalier,#e6550d,#fdae6b,Régulier hospitalier 2,Régulier hospitalier 2,94
Statuts,Régulier - Membre,Régulier hospitalier,#e6550d,#fdae6b,Régulier hospitalier 2,Régulier hospitalier 2,95
Statuts,Régulier - Régulier indéterminé,Régulier indéterminé,#ffff33,#ffff33,Régulier indéterminé,Régulier indéterminé,96
