idimplantation,usual_name,Vocable,lat,lng,location_granularity,Diocese,nbfact,date_startC_Fact,date_stopC_Fact,DureeSFact,date_startStatut,date_stopStatut,DureeStatut
1005,Poussay,NA,48.322013,6.120712,commune,Toul,3,1020,1800,780,1020,1800,780
1006,Relanges,NA,48.112018,6.015649,commune,Toul,4,1050,1800,750,1050,1800,750
1007,Rocourt,NA,48.108292,5.745766,commune,Toul,4,1158,1800,642,1158,1800,642
1008,Romont,NA,48.346925,6.580658,commune,Toul,4,1103,1800,697,1103,1800,697
1009,Rozerieulles,NA,49.118364,6.052783,commune,Metz,4,973,1800,827,973,1800,827
1010,Rupt-aux-Nonnains,Saint Pierre et saint Paul,48.663124,5.095423,commune,Toul,4,1125,1800,675,1125,1800,675
1011,Saint-Nicolas-de-Port,NA,48.622574,6.295466,commune,Toul,4,1093,1800,707,1093,1800,707
1012,Saint-Thiébault,NA,48.891466,5.582711,commune,Verdun,1,NA,NA,NA,NA,NA,NA
1013,Sancy,NA,49.351929,5.927164,commune,Toul,4,1088,1800,712,1088,1800,712
1014,Senonges,NA,48.142378,6.057156,commune,Toul,4,1100,1800,700,1100,1800,700
1015,Sierck,NA,49.435235,6.359066,commune,Metz,3,1415,1800,385,1415,1800,385
1016,Silmont,Saint Bénigne,48.7341171,5.2463753,precise,Toul,4,1125,1800,675,1125,1800,675
1017,Stenay,Saint Rémy et saint Dagobert,49.4924077,5.1874043,precise,Trèves,4,1069,1800,731,1069,1800,731
1018,Thicourt,NA,48.991554,6.558777,commune,Metz,4,1093,1800,707,1093,1800,707
1019,Vandoeuvre,NA,48.657309,6.16443,commune,Toul,4,1090,1800,710,1090,1800,710
1020,Vaucouleurs,NA,48.615879,5.641529,commune,Toul,4,1080,1800,720,1080,1800,720
1021,Lay-Saint-Christophe,Saint Arnoul,48.752,6.206,precise,Toul,4,950,1800,850,950,1800,850
1022,Vic-sur-Seille,NA,48.775982,6.527569,commune,Metz,4,1123,1800,677,1123,1800,677
1023,Viviers,NA,48.893877,6.439907,commune,Metz,4,1000,1800,800,1000,1800,800
1024,Xures,NA,48.690196,6.658043,commune,Toul,4,1129,1800,671,1129,1800,671
1025,Zell,NA,48.98832,6.868877,commune,Metz,3,1123,1800,677,1123,1800,677
1026,Saint-Paul,Saint Paul,49.1598764,5.3844231,precise,Verdun,3,1135,1800,665,1135,1800,665
1027,Saint-Vanne,"Saints Pierre et Paul, saint Vanne",49.1593397,5.3739196,precise,Verdun,3,1096,1783,687,NA,NA,NA
1028,Saint-Maur,"Saint Maur, évêque de Veeerdun",49.1622266,5.3779102,precise,Verdun,2,1665,1665,0,NA,NA,NA
1029,La Madeleine,Sainte Marie-Madeleine,49.1616891,5.3842194,precise,Verdun,7,770,1790,1020,770,1790,1020
1030,Saint-Airy,Saint Martin,49.1552007,5.3892968,precise,Verdun,3,1037,1800,763,1037,1800,763
1031,"Verdun, chapitre cathédral",Sainte Marie,49.1596193,5.3826798,precise,Verdun,3,650,1800,1150,500,1800,1300
1032,Sainte-Croix,La sainte Croix,49.1594843,5.3861332,precise,Verdun,1,NA,NA,NA,NA,NA,NA
1033,Beaulieu-en-Argonne,Saint Maurice,49.0327312,5.0695587,precise,Verdun,1,NA,NA,NA,NA,NA,NA
1034,Montfaucon,Saint Germain,49.2732383,5.1413937,precise,Reims,5,435,1790,1355,550,1790,1240
1035,Saint-Mihiel (2),Saint Michel,48.8893056,5.5409288,precise,Verdun,9,820,1200,380,NA,NA,NA
1036,Saint-Nicolas-du-Pré,Saint Nicolas,49.1521746,5.3794183,precise,Verdun,7,1134,1790,656,1216,1790,574
1037,Chaumousey,Saint Sauveur,48.16,6.34,precise,Toul,10,1091,1791,700,1091,1791,700
