idimplantation,usual_name,Vocable,lat,lng,location_granularity,Diocese,nbfact,date_startC_Fact,date_stopC_Fact,DureeSFact,date_startStatut,date_stopStatut,DureeStatut
1,Saint-André de Mirebeau,Saint-André,46.7827080489752,0.182767144705167,precise,Poitiers,2,NA,NA,NA,NA,NA,NA
3,Nanteuil-en-Vallée,Notre-Dame et Saint-Benoît,46.0028570564249,0.322631816146895,precise,Poitiers,2,1165,1165,0,NA,NA,NA
4,Le Saint-Mont,Saint Pierre,48.0289769,6.6344185,precise,Toul,13,620,1790,1170,620,1790,1170
5,"Auxerre, Saint-Germain",Saint Germain,47.8003677,3.5732151,precise,Auxerre,45,433,2019,1586,418,1793,1375
7,Gandory (Cherves-Richemont),NA,45.7335904438626,-0.331458862243608,approximative,Saintes,1,NA,NA,NA,NA,NA,NA
8,Ronsenac,Saint-Jean-Baptiste,45.4761542681055,0.248790804893474,approximative,Périgueux,4,1075,1556,481,NA,NA,NA
11,"Paris, Sainte-Geneviève (1)",Saints-Apôtres ou Saint-Pierre puis Sainte-Geneviè,48.8463073,2.3476016,precise,Paris,15,506.5,1758,1251.5,502,1758,1256
12,"Paris, Sainte-Geneviève (2)",Sainte-Geneviève,48.8462219,2.3459145,precise,Paris,4,1758,1807,49,1758,1807,49
13,Saint-Jean l'Evangéliste de Mirebeau,NA,46.7854731042468,0.186010610481276,precise,Poitiers,1,NA,NA,NA,NA,NA,NA
15,Preuilly,Notre-Dame,48.4459817,3.1120463,precise,Meaux,9,1118,1800,682,1118,1800,682
16,Saint-Sulpice d'Abzac,Saint-Sulpice,46.1026011746232,0.703083643833224,precise,Angoulême,1,1134,1134,0,NA,NA,NA
17,"Valence, Saint-Ruf",Notre-Dame,44.9279688,4.8835214,precise,Valence,29,1108,1773,665,1158,1773,615
18,"Paris, Saint-Germain-des-Prés",Saint Germain,48.8539276,2.3345335,precise,Paris,12,558,1800,1242,558,1800,1242
19,"Die, Saint-Pierre",Saint Pierre,44.7558512,5.3671028,precise,Die,5,1073,1800,727,1073,1800,727
20,Bouxières-aux-dames,Sainte Marie,48.7558669,6.1643766,precise,Toul,6,938,1787,849,938,1787,849
21,Saint-Pierre-les-Dames (Remiremont),Saint Pierre,48.0156333,6.5911223,precise,Toul,8,817,1790,973,817,1790,973
22,Reigny 2,Notre-Dame,47.6461972,3.7282201,precise,Auxerre,11,300,1791,1491,200,1791,1591
23,Pontigny,Notre-Dame,47.9094745,3.7146848,precise,Auxerre,16,1114,1800,686,1114,1791,677
24,Clairvaux 1,Notre-Dame,48.1453729,4.7834801,precise,Langres,18,1115,1600,485,1115,1135,20
25,Vauluisant,Notre-Dame,48.2651453,3.537056,precise,Sens,7,1127,1791,664,1127,1791,664
26,Cîteaux (2),Notre-Dame,47.1269626,5.0930385,precise,Chalon,19,1098,1791,693,1098,1193,95
27,"Le Troclar, Lagrave",Saint Pierre ?,43.903014400000004,1.9877691,precise,Albi,9,600,1793,1193,600,1793,1193
28,Saint-Savin-de-Lavedan,Saint Savin,42.9814767,-0.0909642,precise,Tarbes,8,945,1790,845,945,1790,845
29,"Dijon, Saint-Bénigne",Saints Maurice et Bénigne,47.3217544,5.0345033,precise,Langres,38,507,1796.5,1289.5,507,1801,1294
30,Saint-André de Vienne,Saint-André,NA,NA,NA,Vienne,2,1174,1174,0,NA,NA,NA
31,Paulhac,Décollation de saint Jean-Baptiste,46.1189071,1.509183,precise,Limoges,13,1020,1792,772,1190,1792,602
32,Moustier-Ventadour,Saint Pierre,45.395026,2.1049546,precise,Limoges,6,1116,1791,675,1116,1791,675
33,Bourg-Saint-Andéol,Saint Andéol,44.3711656,4.6467981,precise,Viviers,7,858,1773,915,1108,1773,665
34,Bort-les-Orgues,Notre-Dame,45.3998886,2.4957135,precise,Limoges,8,1095,1791,696,1095,1791,696
35,Fleurat,Saint Michel,46.2403232,1.6785512,precise,Limoges,15,1020,1792,772,1090,1792,702
36,Lascroux,Nativité de saint Jean-Baptiste,46.2165104,1.6969191,precise,Limoges,11,817,1792,975,1188,1792,604
37,Sauvagnac,Vierge,46.0125373,1.4314379,precise,Limoges,11,1020,1794,774,1225,1794,569
38,"Avignon, Saint-Ruf",Notre-Dame,43.9328002,4.8129309,precise,Avignon,28,1039,1774,735,1039,1774,735
39,Vernaison,Notre-Dame,45.0297001,5.0164397,precise,Valence,10,1165,1800,635,1165,1800,635
40,Saint-Martin-de-Miséré,Saint Martin,45.225572,5.8113174,precise,Grenoble,25,1050,1791,741,1084,1791,707
41,Saint-Hilaire,Saint-Hilaire,45.3082526,5.8869793,precise,Grenoble,6,1100,1800,700,1100,1800,700
42,Saint-Bernard,Saint Bernard,45.3282501,5.9050265,precise,Grenoble,4,1100,1497,397,1100,1497,397
43,Champ,Notre-Dame,45.2795813,5.9401229,precise,Grenoble,5,1100,1791,691,1100,1791,691
44,Thoiry,Notre-Dame,45.598783,6.044491,commune,Grenoble,6,1111,1800,689,1111,1800,689
45,Aix,Notre-Dame,45.697357,5.904218,commune,Grenoble,9,1050,1800,750,1050,1800,750
46,"Grenoble, Saint-Pierre",Saint Pierre,45.1908857,5.7282933,precise,Grenoble,9,1174,1800,626,1174,1800,626
47,"Lans, Notre-Dame",Notre-Dame,45.1279494,5.5895279,precise,Grenoble,6,1227,1791,564,1227,1791,564
48,Saint-Pierre d'Entremont,Saint Pierre,45.385477,5.851497,precise,Grenoble,5,1224,1790,566,1224,1790,566
49,Bassens,Saint Barthélemy,45.5817559,5.93995,precise,Grenoble,6,1224,1800,576,1224,1800,576
50,Champagnier,Saint-André,45.1071557,5.7300215,precise,Grenoble,8,1226,1791,565,1226,1791,565
51,Villard-Benoît,Saint Blaise,45.4387335,6.0307384,precise,Grenoble,8,1134,1800,666,1207,1800,593
52,Corenc,Saint Pierre,45.2193699,5.7624378,precise,Grenoble,5,1289,1791,502,1289,1791,502
53,Saint-Lupicin/Lauconne,"Saint Lupicin, puis Notre Dame (tardif)",46.4012719,5.7927532,precise,Besançon,5,435,1800,1365,460,1800,1340
54,Bissy,Saint Valentin,45.5789226,5.8846993,precise,Grenoble,7,1356,1800,444,1356,1800,444
55,Moutiers,Notre-Dame,47.6107183,3.1757535,precise,Auxerre,8,735,1793,1058,735,1793,1058
56,Cessy,Saint Baudèle,47.336076,3.2057268,precise,Auxerre,7,592,1731,1139,592,1731,1139
57,Saint-Léger-de-Champeaux,Saint Léger,47.3130705,5.3646162,precise,Langres,8,826,1795,969,826,1795,969
58,"Decize, Saint-Pierre",Saint Pierre,46.8285243,3.4634038,precise,Nevers,9,1020,1791,771,1020,1791,771
59,Saint-Sauveur-en-Puisaye,Saint Sauveur,47.6173151,3.1964627,precise,Auxerre,7,771,1791,1020,771,1791,1020
60,Monthiérault,Saint Pierre puis saint Gervais et saint Protais,48.055716,3.905338,approximative,Troyes,8,1010,1791,781,1010,1791,781
61,Griselles,"Saint Valentin, saint Pierre et Paul",47.8657558,4.3506094,precise,Langres,12,200.5,1797,1596.5,101,1797,1696
62,Châtillon-en-Bazois,"Notre-Dame, saint Jean-Baptiste",47.0526072,3.6552742,precise,Nevers,5,1032,1791,759,1032,1791,759
63,Saint-Florentin,"Saint Florentin, Notre-Dame",47.9987787,3.728584,precise,Sens,13,834,1791,957,828,1791,963
64,Bercenay,Saint Antoine,48.2088518,3.8912006,precise,Troyes,7,1035,1567,532,1035,1567,532
65,Egry,Saint Martin aujourd'hui Notre-Dame,48.1038418,2.4383016,precise,Sens,6,950,1800,850,950,1800,850
66,La-Chapelle-aux-Chats,Notre-Dame,NA,NA,NA,Nevers,6,1107,1800,693,1107,1800,693
67,Pesmes,"Saint Martin, puis saint Georges et au XVIe Notre",47.2787436,5.5664995,precise,Besançon,6,1152,1791,639,1152,1791,639
68,Beaumont,Notre-Dame puis saint Thibault,47.765737,3.412082,approximative,Auxerre,5,1153,1800,647,1153,1800,647
69,Vay,Saint Germain,47.5560167,-1.6989939,precise,Nantes,4,1155,1800,645,1155,1800,645
71,Sommecaise,Saint Martin,47.849144,3.2337427,precise,Sens,8,1107,1791,684,1107,1791,684
72,Saint-Vérain,Saint Vérain et saint Blaise,47.4797847,3.0569068,precise,Auxerre,6,1000,1791,791,1000,1791,791
73,Mazille,Saint Germain,46.917962,3.710147,approximative,Nevers,7,1107,1796,689,1107,1796,689
74,Saint-Romain/La Balme,?,46.3625954,5.7465367,precise,Besançon,9,435,1742,1307,512,1742,1230
75,Bainville,"Saint Sauveur, saint Maurice et ses compagnons",48.4371178,6.2772962,precise,Toul,3,957,1800,843,957,1800,843
76,Notre-Dame de Lahonce,Notre-Dame,43.486771,-1.3861958,precise,Bayonne,5,1134,1800,666,1164,1800,636
77,"Autun, Saint-Andoche",Sainte Marie et saint Andoche,46.9494694,4.294905,precise,Autun,11,592,1792,1200,592,1792,1200
78,Sarrancolin,Saint Ebons,42.9659993,0.3769459,precise,Comminges,4,1020,1800,780,1020,1800,780
79,Moncassin,NA,43.4510533,0.4742832,precise,Auch,2,1134,1134,0,NA,NA,NA
80,Sainte-Dode,Sainte Dode,43.4195415,0.3648344,precise,Auch,2,1671,1671,0,NA,NA,NA
81,Echternach,Saint Willibrord,49.8138112,6.4224221,precise,Trèves,3,800,1800,1000,800,1800,1000
82,Notre-Dame de Luxembourg (Münster Alt- Neu-),Notre-Dame (primitivement Saint-Pierre),49.6104924,6.13652,precise,Trèves,9,1083,1800,717,1083,1800,717
83,Clairefontaine,Notre-Dame,49.6660286,5.8660675,precise,Trèves,1,NA,NA,NA,NA,NA,NA
84,Blaudeix,Nativité de saint Jean-Baptiste,46.2298283,2.084063,precise,Limoges,11,1020,1792,772,1193,1792,599
85,Altorf,Saint Cyriaque,48.523128,7.5307202,precise,Strasbourg,5,970,1791,821,970,1791,821
86,Bouzonville,Sainte Croix,49.29316,6.5395728,precise,Metz,4,1030,1800,770,1030,1800,770
87,Mont-Sainte-Odile (Hohenbourg),Hohenbourg,48.4375508,7.4052088,precise,Strasbourg,7,700,1800,1100,700,1800,1100
88,Senones,Saint Pierre,48.393366,6.9805887,precise,Toul,9,650,1800,1150,650,1800,1150
89,Bleurville,Saint Maur,48.0616883,5.9638922,precise,Toul,5,1040,1790,750,1030,1790,760
90,Amel,Saint Pierre,49.257222,5.646871,approximative,Verdun,8,959,1800,841,959,1800,841
91,Blavepeyre,Nativité de saint Jean-Baptiste,46.0068349,2.4054067,precise,Limoges,8,1288,1792,504,1288,1792,504
92,Vipucelle,Saint Sauveur de la cour d'en-haut,48.460243,7.172817,approximative,Metz,3,826,826,0,NA,NA,NA
93,Herbitzheim,Sainte Marie,49.021797,7.08163,precise,Metz,4,870,1800,930,870,1800,930
94,Sainte-Croix-en-Plaine,Sainte Croix,48.0082776,7.3859413,precise,Strasbourg,5,1022,1800,778,1006,1800,794
95,Niedermunster,Sainte Marie,48.441354,7.416009,approximative,Strasbourg,4,750.5,1544,793.5,701,1544,843
96,La Capelle,Notre-Dame,43.7273897,1.3298982,precise,Toulouse,3,1134,1143,9,NA,NA,NA
97,Lacasedieu,Notre-Dame,43.5599708,0.1242157,precise,Auch,4,1134,1163,29,NA,NA,NA
98,Pagolle,NA,43.224672,-0.9893703,precise,Bayonne,1,NA,NA,NA,NA,NA,NA
99,Cluny,Saint Pierre et saint Paul,46.434817,4.6595554,precise,Mâcon,95,762.5,1790,1027.5,700,1790,1090
100,Salonnes,Saint Denis et saint Privat,48.7918618,6.4988483,precise,Metz,5,775,1800,1025,775,1800,1025
101,Saint-Rémy de Lunéville,Saint Rémy,48.5921215,6.492048,precise,Toul,10,1000,1790,790,1000,1790,790
102,Saint-Mansuy,Saint Mansuy,48.68,5.89,precise,Toul,11,965,1800,835,965,1800,835
103,Moyenvic,Saint Pient,48.782208,6.569471,approximative,Toul,7,610,1800,1190,610,1800,1190
104,Grande Chartreuse,Notre-Dame,45.3766894,5.7972938,precise,Grenoble,3,1219,1335,116,NA,NA,NA
106,Hesse,"Vierge Marie, saint Martin et saint Laurent",48.6956759,7.0481374,precise,Metz,4,1050,1800,750,1050,1800,750
107,"Autun, Saint-Jean-le-Grand",Sainte Marie et saint Jean-Baptiste,46.9583581,4.30046,precise,Autun,8,589,1792,1203,589,1792,1203
108,Champchanoux 1,Notre-Dame,46.730172,4.219458,approximative,Autun,7,1191,1686,495,1191,1686,495
109,Saint-Julien-sur-Dheune,Saint Julien,46.772716,4.547775,approximative,Autun,7,1202,1673,471,1202,1673,471
110,Saint-Georges-des-Bois,Saint Georges,46.946461,4.310907,approximative,Autun,7,1226,1343,117,1226,1343,117
111,Pierre-Cervau,Saint Jean l'Evangéliste,46.946461,4.310907,approximative,Autun,5,1199,1273,74,1199,1273,74
112,Vergaville,Saint Eustase,48.841195,6.745805,approximative,Metz,7,966,1800,834,966,1800,834
113,"Autun, Saint-Martin",Saint Martin,46.946461,4.310907,approximative,Autun,35,592,1793,1201,592,1793,1201
114,"Autun, Saint-Symphorien",Saint Symphorien,46.946461,4.310907,approximative,Autun,18,445,1792,1347,440,1792,1352
115,"Châtillon-sur-Seine, Notre-Dame",Notre-Dame,47.8634278,4.5755111,precise,Langres,16,1134,1791,657,1142,1791,649
116,Puits-d'Orbe,Notre-Dame,47.742437,4.335084,approximative,Langres,5,1128,1619,491,1128,1619,491
117,Bonvaux,Notre-Dame,47.3537375,4.9711753,precise,Langres,4,1214,1790,576,1214,1790,576
118,Gizay (Saint-Cyprien),Saint Martin,46.440202,0.424295,commune,Poitiers,3,1101,1800,699,1087,1800,713
119,"Noyon, Sainte-Godeberthe",Sainte Godeberthe,49.578014,3.008441,precise,Noyon,7,650.5,1791,1140.5,641,1791,1150
120,La Crête,Notre-Dame,48.176012,5.338977,approximative,Langres,8,1121,1791,670,1121,1791,670
121,Saint-Martial de Limoges,Saint Sauveur,45.831207,1.2598081,precise,Limoges,38,848,1791,943,848,1535,687
122,Bure-les-Templiers,NA,47.7384211,4.8940216,precise,Langres,13,817,1790,973,1133,1790,657
123,La Romagne,NA,47.579176,5.398143,approximative,Langres,7,817,1222,405,NA,NA,NA
124,Notre-Dame de l'Isle-sous-Vienne,Notre-Dame,45.5039216,4.848888,precise,Vienne,13,1130,1763,633,1130,1763,633
125,"Vienne, Saint-Martin",Saint Martin,45.5283048,4.8789657,precise,Vienne,2,1134,1134,0,NA,NA,NA
126,Saint-André de la Côte,Saint-André,45.394711,5.2582146,precise,Vienne,1,NA,NA,NA,NA,NA,NA
127,Rimondeix,Saint Pierre ès-liens,46.2285235,2.1014799,precise,Limoges,13,1020,1792,772,1178,1792,614
128,Sainte-Marie de la Règle,Sainte Marie,45.8288645,1.2682719,precise,Limoges,9,1221,1480,259,NA,NA,NA
129,Aubepierre,Notre-Dame,46.3934836,1.7661481,precise,Limoges,4,1149,1800,651,1149,1800,651
130,Grandmont,Notre-Dame,45.9993787,1.3932035,precise,Limoges,5,1160,1192,32,NA,NA,NA
131,Vigeois,Saint Pierre,45.3793252,1.5158693,precise,Limoges,8,572,1800,1228,572,1800,1228
132,Muret,Notre-Dame,45.9465993,1.3820275,precise,Limoges,1,NA,NA,NA,NA,NA,NA
133,Aubignac,Notre-Dame,46.3999065,1.5013878,precise,Bourges,8,1138,1800,662,1138,1800,662
134,L'Argentière,Notre-Dame de Droux,46.165389,1.148426,approximative,Limoges,6,1119,1684,565,1119,1684,565
135,Glandier,Notre-Dame,45.365104,1.4496096,precise,Limoges,5,1080,1800,720,1219,1800,581
136,Erin,Saint Léobon,45.850428,1.064095,approximative,Limoges,5,1243,1791,548,1243,1791,548
137,Boisvert,Notre-Dame,45.7801987,1.5795731,precise,Limoges,1,NA,NA,NA,NA,NA,NA
138,Aubepierre,Sainte Marie,45.8136129,0.8912302,approximative,Limoges,1,NA,NA,NA,NA,NA,NA
139,"Balézy, Balézis","Notre-Dame, Saint-Marc",45.7956319,1.2144602,precise,Limoges,1,NA,NA,NA,NA,NA,NA
140,Bonneval-de-Montusclat,"Notre-Dame, Sainte Apolline",45.4588479,2.0899323,precise,Limoges,1,NA,NA,NA,NA,NA,NA
141,Bonneval de Serre,Notre-Dame et saint Marc,45.6768022,1.6532875,precise,Limoges,1,NA,NA,NA,NA,NA,NA
142,Bronzeaux,Notre-Dame,46.2536483,1.2483244,precise,Limoges,1,NA,NA,NA,NA,NA,NA
143,Châtenet,Notre-Dame,45.7942166,1.3456954,precise,Limoges,1,NA,NA,NA,NA,NA,NA
144,Cluseau,Notre-Dame et Saint-Eutrope,45.5738992,1.3991208,precise,Limoges,1,NA,NA,NA,NA,NA,NA
145,Drouilhe-Blanche,"Sainte-Vierge, Saint Cloud de Nogent",45.9474166,1.3189758,precise,Limoges,1,NA,NA,NA,NA,NA,NA
146,Drouilhe-Noire,"Sainte-Valérie, Sainte-Capraise d'Agen",45.9527138,1.312163,precise,Limoges,2,NA,NA,NA,NA,NA,NA
147,Ecluse-Saint-Marc,Notre-Dame et saint Marc,45.9342908,1.4728878,precise,Limoges,1,NA,NA,NA,NA,NA,NA
148,Epagne,NA,45.9227063,1.592665,precise,Limoges,1,NA,NA,NA,NA,NA,NA
149,Rousset,Notre-Dame et Saint-Georges,46.017007,1.0618422,precise,Limoges,1,NA,NA,NA,NA,NA,NA
150,Trezen,"Notre-Dame, Saint-Marc",45.9919043,1.5473467,precise,Limoges,1,NA,NA,NA,NA,NA,NA
151,Saumur,"Notre-Dame, Saint-Hilaire de Poitiers",45.6655906,1.0776596,precise,Limoges,1,NA,NA,NA,NA,NA,NA
152,Chagny,Saint Martin,46.9118785,4.7524251,precise,Chalon,8,1134,1800,666,1220,1800,580
153,Val-Saint-Benoît,Notre-Dame,46.9691459,4.4654959,precise,Autun,4,1236,1705,469,1236,1705,469
154,Colonne,NA,46.87868,5.571181,approximative,Besançon,5,1307,1412,105,1307,1412,105
155,Saint-Germain-lès-Senailly,Saint Germain,47.598008,4.281021,approximative,Langres,4,858,1800,942,858,1800,942
156,Saint-Parize-en-Viry,NA,46.753629,3.366393,approximative,Nevers,5,1241,1310,69,1241,1310,69
157,Lancharre 1,Notre-Dame,46.5634847,4.7557617,precise,Chalon,14,100.5,1626,1525.5,1,1626,1625
158,Lancharre 2,Notre-Dame,46.7802519,4.853892,precise,Chalon,7,1626,1792,166,1626,1792,166
159,Champchanoux 2,Notre-Dame,46.6933644,4.1362562,approximative,Autun,5,1686,1775,89,1686,1775,89
160,Le Puley,Saint Christophe,46.67955,4.564796,precise,Chalon,8,1211,1615,404,1211,1615,404
161,La Chaux,Notre-Dame,46.571182,4.985622,precise,Chalon,12,1224,1800,576,1224,1800,576
162,Charteuse de Mortemart,NA,46.0409827,0.959052,precise,Limoges,4,1335,1800,465,1335,1800,465
163,Chargnac,NA,45.210377,1.291873,precise,Limoges,1,NA,NA,NA,NA,NA,NA
164,Malgorse,NA,45.4589939,1.483197,precise,Limoges,1,NA,NA,NA,NA,NA,NA
165,Pourrières,NA,45.536918,1.57501,precise,Limoges,1,NA,NA,NA,NA,NA,NA
166,Puy-Gibert,NA,45.1229785,1.4497232,precise,Limoges,1,NA,NA,NA,NA,NA,NA
167,Jayat,"Notre-Dame, Saint-Savin",46.2136782,2.292799,precise,Limoges,1,NA,NA,NA,NA,NA,NA
168,Puy-Saint-Jean,Nativité de saint Jean,46.3011812,1.2089711,precise,Limoges,5,1113,1598,485,1113,1598,485
169,Fontevraud,Notre-Dame,47.1813977,0.0523772,precise,Poitiers,17,1101,1793,692,1101,1793,692
170,Vacqueure,Sainte Catherine,46.0845181,1.019475,precise,Limoges,4,1119,1803,684,1119,1803,684
171,Sainte-Catherine de Sèvres,Sainte Catherine,45.227098,1.588957,approximative,Limoges,4,1259,1800,541,1259,1800,541
172,Banassat,Sainte Croix,46.202405,1.82814,approximative,Limoges,6,1259,1405,146,1259,1405,146
173,Pont-Cholet,Nativité de saint Jean,45.5949381,1.5020689,precise,Limoges,6,1273,1791,518,1273,1791,518
174,Saint-Pierre de l'Isle,Saint Pierre,45.3080037,-0.8199714,precise,Bordeaux,4,1130,1800,670,1130,1800,670
175,Fontaine-le-Comte,Notre-Dame,46.5270381,0.2642204,precise,Poitiers,4,1126,1800,674,1126,1800,674
176,Sablonceaux,Notre-Dame,45.7179538,-0.8782505,precise,Saintes,2,1134,1134,0,NA,NA,NA
177,Pleine-Selve,Sainte Marie,45.3253709,-0.5727791,precise,Bordeaux,2,1134,1134,0,NA,NA,NA
178,Uzerche,Saint Pierre,45.424578,1.5640149,precise,Limoges,4,977,1800,823,977,1800,823
179,Chateauponsac,Saint Thyrse,46.1310198,1.2746575,precise,Limoges,4,1039,1800,761,1039,1800,761
180,Badeix,Notre-Dame,45.6169839,0.6597888,precise,Limoges,1,NA,NA,NA,NA,NA,NA
181,Bonnevoie,Notre-Dame,49.597171,6.1381132,precise,Trèves,1,1700,1700,0,NA,NA,NA
182,Andlau,Saint Sauveur,48.3878421,7.415482,precise,Strasbourg,8,880,1791,911,880,1791,911
183,Dalon,Notre-Dame,45.273521,1.2253239,precise,Limoges,17,1114,1800,686,1114,1800,686
184,Avenas,Saint Pélage et sainte Marie,46.195869,4.600141,approximative,Mâcon,3,815,962,147,815,962,147
185,Le Palais-Notre-Dame,Notre-Dame,45.9932686,1.7690678,precise,Limoges,8,1134,1800,666,1134,1800,666
186,Prébenoît,Notre-Dame,46.3580242,2.0411983,precise,Limoges,8,1120,1800,680,1120,1800,680
187,Baumgarten,Sainte Marie,48.363701,7.404875,precise,Strasbourg,10,1125,1520,395,1125,1520,395
188,Derses,Saint Jean,45.212262,1.64181,approximative,Tulle,6,1200,1800,600,1200,1800,600
189,Aubigny,Saint Symphorien,47.6630615,5.2848658,precise,Langres,10,1088,1597,509,1088,1597,509
190,Bèze,Saint Pierre et saint Paul,47.4669792,5.2724017,precise,Langres,26,590,1793,1203,590,1793,1203
191,"Langres, Saint-Martin",Saint Martin,47.860467,5.3326018,precise,Langres,4,1110,1800,690,1110,1800,690
192,Saint Bernard de Tulle,Saint Bernard,45.2695702,1.7687269,precise,Tulle,5,1622,1800,178,1622,1800,178
193,Bonlieu,Notre-Dame,46.0876479,2.310529,precise,Limoges,9,1120,1800,680,1120,1800,680
194,Valette,Notre-Dame,45.2264925,2.1673733,precise,Limoges,11,1143,1800,657,1143,1800,657
195,Obazine,Notre-Dame,45.1746393,1.6704889,precise,Limoges,17,1130,1790,660,1130,1790,660
196,Bonnaigue,Notre-Dame,45.5745639,2.3664494,precise,Limoges,8,1143,1800,657,1143,1800,657
197,Boeuil,Notre-Dame,45.8992476,1.0730485,precise,Limoges,7,1123,1800,677,1123,1800,677
198,"Tulle, couvent des feuillants",Saint Martial,45.2690787,1.7685051,precise,Tulle,3,1615,1800,185,1615,1800,185
199,Coyroux,Notre-Dame,45.1704371,1.6787762,precise,Limoges,7,1142,1800,658,1142,1800,658
200,"Limoges, couvent des feuillants",Saint Martin,45.8323307,1.2630426,precise,Limoges,3,1622,1800,178,1622,1800,178
201,Baignes - abbaye Saint-Etienne,Saint Etienne,45.3802295,-0.2344464,precise,Saintes,50,1000,1789,789,1000,1789,789
202,Ambleville - Saint-Pierre (prieuré Baignes),Saint Pierre,49.1505577,1.6965372,precise,Angoulême,5,1100,1800,700,1100,1800,700
203,Archiac - Saint-Pierre  (prieuré Baignes),Saint Pierre,45.5217793,-0.3011238,precise,Saintes,4,1073,1800,727,1073,1800,727
204,Arthenac - Saint-Martin (prieuré Baignes),Saint Martin,45.5149885,-0.3139888,precise,Saintes,5,1083,1800,717,1083,1800,717
205,Ebersmunster,Saint Maurice,48.311379,7.526939,precise,Strasbourg,4,675,1800,1125,675,1800,1125
206,Aureil,Saint Jean,45.8054179,1.3928675,precise,Limoges,7,1081,1599,518,1081,1599,518
207,Bost-las-Mongeas,Notre-Dame,45.8016136,1.3891174,precise,Limoges,5,1081,1621,540,1081,1621,540
208,Arnulfsau,NA,NA,NA,NA,Strasbourg,1,NA,NA,NA,NA,NA,NA
209,Saint Léonard,Saint Leonard de Noblat,48.469783,7.437112,precise,Strasbourg,1,NA,NA,NA,NA,NA,NA
210,Echery,NA,NA,NA,NA,Toul,1,NA,NA,NA,NA,NA,NA
211,Feldkirch,Saint Maximin,48.445636,7.52975,commune,Strasbourg,1,NA,NA,NA,NA,NA,NA
212,Boubon,Assomption sainte Vierge,45.6722593,0.8260052,precise,Limoges,4,1119,1800,681,1119,1800,681
213,Rouffach,Saint Valentin,47.969119,7.27087,commune,Strasbourg,2,NA,NA,NA,NA,NA,NA
214,"Masevaux, Masmünster",Saint Léger,47.7510509,7.0936422,precise,Bâle,1,NA,NA,NA,NA,NA,NA
215,Saint Quirin,Saint Quirin,48.73845,7.047161,approximative,NA,1,NA,NA,NA,NA,NA,NA
217,Laubenheim,Notre-Dame,48.493333,7.385,precise,Strasbourg,1,NA,NA,NA,NA,NA,NA
218,Saint Hippolyte,Saint Hippolyte,NA,NA,NA,Strasbourg,2,774,1800,1026,774,1800,1026
219,Saint Nicolas des bois,Nicolas,47.746105,6.952337,approximative,NA,1,NA,NA,NA,NA,NA,NA
221,Sigolsheim,Saint Maurice,NA,NA,NA,Bâle,1,NA,NA,NA,NA,NA,NA
222,Sainte Trinité,Sainte Trinité,48.571634,7.767834,commune,Strasbourg,3,1134,1134,0,NA,NA,NA
225,Sermaize,NA,46.206687,-1.1635089,precise,Saintes,4,1192,1800,608,1192,1800,608
226,Embreuil,NA,45.6249567,-0.814887,precise,Saintes,3,1163,1800,637,1163,1800,637
228,La Garde en Arvert,NA,45.7788062,-1.1729936,precise,NA,2,1200,1800,600,1200,1800,600
230,Agudelle,Saint-Eutrope ou Notre-Dame,45.3851662,-0.4710384,precise,Saintes,3,1116,1800,684,1116,1800,684
232,Cormeilles,NA,45.5078674,-0.7029569,precise,Saintes,3,1115,1800,685,1115,1800,685
233,Saint-Sigismond-de-Clermont (égl. Baignes),Saint-Sigismond-de-Clermont,45.4410086,-0.5536296,precise,Saintes,2,1083,1800,717,1083,1800,717
234,La Grâce-Dieu,NA,46.2039097,-0.8414976,precise,Maillezais,3,1135,1800,665,1135,1800,665
235,Montierneuf,NA,45.8761551,-0.9505261,precise,Saintes,2,1040,1800,760,1040,1800,760
238,Notre-Dame de Châtres,NA,45.6936974,-0.2573098,precise,Saintes,2,1100,1800,700,1100,1800,700
239,Crespin,Saint Pierre,NA,NA,NA,Cambrai,2,1082,1082,0,NA,NA,NA
240,Honcourt,Saint Michel,48.349626,7.282713,precise,Strasbourg,1,NA,NA,NA,NA,NA,NA
241,Marmoutier,Saint Martin,48.4126,7.2256,precise,Strasbourg,1,NA,NA,NA,NA,NA,NA
242,Munster,Saint Gregoire,48.0224,7.0816,precise,Strasbourg,1,NA,NA,NA,NA,NA,NA
243,Murbach,Saint Léger,47.923793,7.157144,precise,NA,1,NA,NA,NA,NA,NA,NA
244,Neuwiller,Saints Pierre et Paul,48.823705,7.405635,precise,Strasbourg,1,NA,NA,NA,NA,NA,NA
245,Walbourg,Saint Philippe et saint Jacques,48.884729,7.787602,precise,Strasbourg,1,NA,NA,NA,NA,NA,NA
246,Wissembourg,Saints Pierre et Paul,49.037127,7.941884,precise,Strasbourg,3,NA,NA,NA,NA,NA,NA
247,Arcs,Sainte Catherine,46.1461923,1.4589392,precise,Limoges,12,1178,1747,569,1178,1535,357
248,Arnac,Trinité et saint Pardoux,45.4102967,1.3698624,precise,Limoges,13,1024,1743,719,1024,1535,511
249,prieuré de la Gasconnière,NA,45.7530577,-0.2387928,precise,Saintes,1,1790,1790,0,NA,NA,NA
251,La Grâce Notre-Dame,NA,46.294115,-1.081415,precise,Saintes,1,NA,NA,NA,NA,NA,NA
253,"Bénévent, Saint-Barthélémy",Saint Barthélemy,46.1194124,1.6295232,precise,Limoges,9,1080,1790,710,1080,1790,710
